classificador,oversampling,undersampling,media_news,std_news,normality_news,normality_p_news,media_opinion,std_opinion,normality_opinion,normality_p_opinion,media_fake,std_fake,normality_fake,normality_p_fake
randomforest,True,True,0.5060455810573056,0.035049297358486255,Sample looks Gaussian (fail to reject H0),0.2193286269903183,0.8031763345357728,0.017970881961113384,Sample looks Gaussian (fail to reject H0),0.5423694849014282,0.3298852740615862,0.05538438505829074,Sample looks Gaussian (fail to reject H0),0.3457792401313782
randomforest,True,False,0.5117935781174024,0.028128269687501914,Sample looks Gaussian (fail to reject H0),0.5405071973800659,0.7998795479751515,0.02029288098738517,Sample looks Gaussian (fail to reject H0),0.40238142013549805,0.3319269035517867,0.05803922516261118,Sample looks Gaussian (fail to reject H0),0.3490948975086212
randomforest,False,True,0.4839998017368393,0.02308056884434886,Sample looks Gaussian (fail to reject H0),0.26901888847351074,0.7048429064430519,0.029084822169081044,Sample looks Gaussian (fail to reject H0),0.645579993724823,0.27522510908735015,0.07360759830314191,Sample does not look Gaussian (reject H0),0.04819873347878456
randomforest,False,False,0.49763037032056145,0.042479506071718055,Sample looks Gaussian (fail to reject H0),0.5862983465194702,0.8425576269957723,0.018030814513115237,Sample looks Gaussian (fail to reject H0),0.41905513405799866,0.26004139066892584,0.09994756769929423,Sample looks Gaussian (fail to reject H0),0.05619530379772186
xgboost,True,True,0.4997919112878068,0.03789614511852083,Sample looks Gaussian (fail to reject H0),0.287882924079895,0.818786277398352,0.023847565224217677,Sample looks Gaussian (fail to reject H0),0.908887505531311,0.3222301363618436,0.06944261471969836,Sample looks Gaussian (fail to reject H0),0.3972017467021942
xgboost,True,False,0.5024511671425518,0.0353773355879968,Sample does not look Gaussian (reject H0),0.03578585013747215,0.8112217496689927,0.01641892938675466,Sample looks Gaussian (fail to reject H0),0.24692769348621368,0.31800732714355706,0.040374905056510285,Sample looks Gaussian (fail to reject H0),0.07113968580961227
xgboost,False,True,0.4847661600779311,0.04138472368621095,Sample looks Gaussian (fail to reject H0),0.18445400893688202,0.7283300526914137,0.030633617887952557,Sample looks Gaussian (fail to reject H0),0.5048157572746277,0.3013992766580783,0.04474747862365355,Sample looks Gaussian (fail to reject H0),0.9542199373245239
xgboost,False,False,0.47362933626084536,0.05049379480014572,Sample looks Gaussian (fail to reject H0),0.9734513163566589,0.8347639677012749,0.017369607552719876,Sample looks Gaussian (fail to reject H0),0.4347095489501953,0.27463263258076304,0.10144842660194205,Sample does not look Gaussian (reject H0),0.03918881714344025
